               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,           0.0090004,           0.0048586,                   0,             0.98894,             0.98329,             0.99462,             0.98695,            0.003993,           0.0017322,                   0,            0.007558,            0.007558,            0.007558
                  39,           0.0092438,           0.0048968,                   0,             0.99091,             0.98057,             0.99461,             0.98738,           0.0041509,           0.0017632,                   0,            0.007492,            0.007492,            0.007492
                  40,           0.0091367,           0.0048645,                   0,             0.98363,              0.9895,             0.99465,             0.98738,           0.0036868,           0.0017409,                   0,            0.007426,            0.007426,            0.007426
                  41,           0.0090429,            0.004892,                   0,             0.98408,             0.98914,             0.99461,             0.98616,           0.0041767,           0.0016868,                   0,             0.00736,             0.00736,             0.00736
                  42,           0.0091287,           0.0048091,                   0,             0.98295,                0.99,             0.99462,             0.98737,            0.004294,           0.0017098,                   0,            0.007294,            0.007294,            0.007294
                  43,           0.0088539,           0.0047642,                   0,             0.98454,             0.98679,             0.99461,             0.98774,           0.0037616,            0.001724,                   0,            0.007228,            0.007228,            0.007228
                  44,           0.0089173,            0.004811,                   0,              0.9863,               0.987,             0.99468,             0.98719,           0.0036926,           0.0016967,                   0,            0.007162,            0.007162,            0.007162
                  45,           0.0087538,            0.004737,                   0,             0.98895,             0.98414,             0.99463,             0.98583,           0.0037236,           0.0017413,                   0,            0.007096,            0.007096,            0.007096
                  46,           0.0086319,           0.0047925,                   0,             0.98992,             0.98232,             0.99462,             0.98709,            0.003926,            0.001647,                   0,             0.00703,             0.00703,             0.00703
                  47,           0.0087288,           0.0047068,                   0,              0.9888,              0.9855,             0.99463,             0.98705,           0.0034808,           0.0016575,                   0,            0.006964,            0.006964,            0.006964
                  48,           0.0085915,           0.0046849,                   0,             0.98678,               0.985,             0.99463,             0.98756,           0.0037066,           0.0016347,                   0,            0.006898,            0.006898,            0.006898
                  49,           0.0086822,           0.0046777,                   0,             0.98616,              0.9865,             0.99461,             0.98695,            0.003714,           0.0015187,                   0,            0.006832,            0.006832,            0.006832
